School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,38.99,36.12,75.11,1,1,1
Blue Springs South,33.27,29.98,63.25,2,6,2
Kearney,27.42,32.27,59.69,6,4,3
Webb City,22.72,35.28,57.99,17,2,4
Staley,21.13,34.69,55.82,24,3,5
Fort Osage,29.68,25.9,55.58,5,9,6
Kickapoo,26.56,24.37,50.93,8,13,7
Chaminade College Prep,26.89,23.52,50.41,7,15,8
Park Hill,19.89,28.92,48.81,28,7,9
Liberty North,17.02,31.08,48.11,40,5,10
Francis Howell,20.21,27.84,48.05,26,8,11
Jefferson City,30.74,16.95,47.68,4,40,12
Lamar,22.74,24.88,47.62,16,12,13
Kirkwood,21.68,25.42,47.1,21,11,14
Harrisonville,23.15,22.19,45.33,15,17,15
Maryville,21.81,20.94,42.75,19,25,16
SLUH,25.42,16.3,41.72,10,46,17
Ft. Zumwalt North,15.47,25.82,41.29,51,10,18
Eureka,18.65,22.16,40.81,31,18,19
Carl Junction,26.47,14.13,40.61,9,62,20
Carthage,21.24,18.91,40.14,22,31,21
Hannibal,23.76,15.94,39.7,13,49,22
Lee's Summit West,18.4,21.27,39.67,32,24,23
John Burroughs,15.29,24.17,39.46,53,14,24
Rockwood Summit,16.4,22.9,39.3,44,16,25
Rockhurst,22.43,15.57,38.0,18,52,26
Westminster Christian Academy,18.38,19.54,37.92,33,28,27
Hazelwood Central,16.12,21.43,37.55,46,23,28
West Plains,21.23,15.7,36.93,23,51,29
Lee's Summit,20.19,16.52,36.71,27,43,30
Raymore-Peculiar,14.21,21.91,36.12,59,22,31
Nixa,18.67,17.33,36.0,30,38,32
Pattonville,13.84,22.07,35.91,62,20,33
Blue Springs,16.44,19.37,35.81,43,29,34
Vianney,24.65,10.09,34.74,12,87,35
Odessa,15.56,19.04,34.6,50,30,36
Liberty (Mountain View),16.12,18.32,34.45,45,34,37
Lafayette (Wildwood),15.39,18.88,34.27,52,32,38
Battle,18.05,16.1,34.16,34,48,39
Marquette,13.87,19.61,33.48,61,27,40
Joplin,17.76,15.55,33.31,37,53,41
Ritenour,14.89,17.91,32.8,56,36,42
Blair Oaks,23.45,8.93,32.38,14,97,43
Lee's Summit North,10.0,21.99,31.99,85,21,44
Belton,25.39,6.32,31.71,11,110,45
Center,15.94,15.52,31.46,47,54,46
Central (Cape Girardeau),20.37,10.7,31.08,25,85,47
Valle Catholic,17.8,12.65,30.44,36,65,48
Mexico,13.38,16.5,29.88,66,44,49
Platte County,13.54,15.91,29.45,64,50,50
Truman,13.04,16.4,29.43,71,45,51
Central (St. Joseph),21.81,7.48,29.29,20,103,52
Oak Grove,12.8,16.26,29.06,72,47,53
Parkway North,12.26,16.75,29.01,77,41,54
Republic,16.66,12.29,28.95,42,73,55
Smithville,8.29,19.66,27.95,96,26,56
Rock Bridge,5.7,22.09,27.8,111,19,57
University City,9.31,18.34,27.65,91,33,58
Hazelwood East,12.3,15.33,27.63,76,55,59
Parkway Central,8.8,18.13,26.93,95,35,60
Ladue Horton Watkins,13.7,12.54,26.24,63,67,61
Bolivar,15.02,11.04,26.06,54,81,62
Poplar Bluff,14.99,10.94,25.93,55,82,63
Ft. Zumwalt West,18.03,7.43,25.46,35,104,64
Grandview,12.37,12.59,24.95,75,66,65
Smith-Cotton,9.73,14.49,24.21,89,59,66
Thayer,9.54,14.59,24.13,90,57,67
William Chrisman,11.94,11.97,23.91,79,74,68
Raytown South,12.7,11.08,23.78,73,80,69
Brookfield,6.35,16.69,23.04,108,42,70
Helias Catholic,8.03,14.75,22.79,97,56,71
