School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Staley,24.5,39.13,63.64,7,1,1
Fort Osage,32.33,28.78,61.12,2,4,2
Park Hill,22.71,32.81,55.52,8,3,3
Liberty North,21.14,33.54,54.68,9,2,4
Chaminade College Prep,28.74,25.18,53.92,3,6,5
Ft. Zumwalt North,17.33,27.47,44.8,18,5,6
Carthage,20.83,23.59,44.42,11,9,7
Rockwood Summit,18.05,24.54,42.6,15,8,8
Nixa,21.08,19.18,40.26,10,13,9
Vianney,27.11,12.09,39.2,5,28,10
Battle,20.77,18.39,39.16,12,14,11
Pattonville,12.87,25.05,37.92,27,7,12
Truman,17.59,19.62,37.21,17,11,13
Central (St. Joseph),25.29,11.85,37.13,6,29,14
Belton,27.44,8.34,35.78,4,35,15
Republic,19.96,13.4,33.36,13,24,16
Hazelwood East,14.19,16.26,30.45,25,18,17
William Chrisman,15.84,14.56,30.4,21,21,18
Liberty,16.24,13.48,29.72,20,23,19
Parkway North,12.74,16.63,29.37,28,16,20
Parkway Central,9.62,19.55,29.17,33,12,21
Raytown,7.8,20.3,28.1,36,10,22
Poplar Bluff,15.71,11.83,27.54,23,30,23
Ladue Horton Watkins,14.34,12.88,27.22,24,27,24
Smith-Cotton,10.82,15.9,26.72,31,19,25
Park Hill South,8.54,17.76,26.3,35,15,26
Lebanon,9.6,16.33,25.93,34,17,27
McCluer North,17.77,6.92,24.7,16,37,28
Parkview,12.24,11.77,24.01,30,31,29
Jackson,16.79,4.43,21.22,19,42,30
Camdenton,4.87,15.48,20.35,39,20,31
Ft. Zumwalt East,13.51,6.34,19.85,26,40,32
Glendale,33.28,-13.43,19.85,1,51,33
Willard,15.71,4.11,19.82,22,43,34
Fox,4.9,14.35,19.24,38,22,35
Waynesville,12.62,6.56,19.18,29,39,36
Oakville,3.24,13.21,16.44,43,25,37
North Kansas City,2.7,13.0,15.7,44,26,38
Parkway West,4.45,10.49,14.94,40,33,39
Ft. Zumwalt South,9.97,3.09,13.06,32,46,40
Webster Groves,2.2,10.55,12.75,46,32,41
Winnetonka,2.16,9.59,11.74,47,34,42
Washington,19.72,-9.6,10.12,14,49,43
Oak Park,2.34,7.75,10.1,45,36,44
Rolla,7.75,1.41,9.15,37,47,45
Branson,4.14,3.11,7.26,42,45,46
Ozark,-4.57,6.8,2.23,49,38,47
Central (Springfield),4.37,-3.26,1.11,41,48,48
Parkway South,-10.07,5.89,-4.18,50,41,49
McCluer,-11.23,4.08,-7.15,51,44,50
Holt,1.04,-18.54,-17.5,48,52,51
Ruskin,-26.98,-9.92,-36.9,52,50,52
