Date,Home Team,Home Score,Away Team,Away Score
2015-08-14,North Platte,18,Braymer with Breckenridge,6
2015-08-14,Braymer with Breckenridge,6,Crest Ridge,24
2015-08-21,Butler,32,Adrian,14
2015-08-21,Harrisonville,17,Benton,14
2015-08-21,Pembroke Hill,0,Bishop LeBlond,41
2015-08-21,Park Hill,7,Blue Springs South,14
2015-08-21,California,6,Boonville,9
2015-08-21,Louisiana,34,Bowling Green,48
2015-08-21,Central (Springfield),22,Branson,21
2015-08-21,Fair Grove,61,Buffalo,8
2015-08-21,Ash Grove,13,Cabool,6
2015-08-21,Hillcrest,12,Camdenton,35
2015-08-21,John Burroughs,33,Cardinal Ritter,6
2015-08-21,East Newton,7,Carl Junction,61
2015-08-21,Potosi,29,Carnahan,20
2015-08-21,Liberty (Mountain View),49,Caruthersville,6
2015-08-21,Aurora,20,Cassville,21
2015-08-21,Vashon,34,Central (Cape Girardeau),32
2015-08-21,Malden,49,Central (New Madrid County),14
2015-08-21,Kearney,55,Central (St. Joseph),15
2015-08-21,Grandview (Hillsboro),14,Chaffee,20
2015-08-21,Mehlville,7,Chaminade College Prep,57
2015-08-21,Sikeston,53,Charleston,6
2015-08-21,Monroe City,16,Clark County,29
2015-08-21,Lafayette County,62,Concordia,14
2015-08-21,Archie,23,Crest Ridge,40
2015-08-21,Brentwood,58,Crystal City,6
2015-08-21,Hazelwood Central,40,De Smet Jesuit,6
2015-08-21,Ste. Genevieve,42,Dexter,7
2015-08-21,Appleton City with Montrose,56,Drexel with Miami (Amoret),58
2015-08-21,St. Charles,28,Duchesne,17
2015-08-21,West Platte,29,East (Kansas City),20
2015-08-21,Maysville,8,East Buchanan,52
2015-08-21,Stockton,15,El Dorado Springs,20
2015-08-21,Lafayette (Wildwood),13,Eureka,35
2015-08-21,Harrisburg,6,Father Tolton,54
2015-08-21,Westminster Christian Academy,27,Festus,7
2015-08-21,Raytown South,14,Fort Osage,27
2015-08-21,Poplar Bluff,33,Fox,3
2015-08-21,Kennett,35,Fredericktown,7
2015-08-21,Francis Howell Central,20,Ft. Zumwalt East,43
2015-08-21,Troy Buchanan,6,Ft. Zumwalt South,34
2015-08-21,Holt,13,Ft. Zumwalt West,55
2015-08-21,Osage,21,Fulton,33
2015-08-21,North Platte,2,Gallatin,0
2015-08-21,Joplin,56,Glendale,48
2015-08-21,Fayette,0,Hallsville,28
2015-08-21,MICDS,9,Hannibal,34
2015-08-21,Thayer,26,Hayti,6
2015-08-21,Scott City,34,Herculaneum,6
2015-08-21,Montgomery County,6,Hermann,55
2015-08-21,Centralia,48,Highland,19
2015-08-21,Houston,16,Hollister,7
2015-08-21,Sarcoxie,6,Jasper,28
2015-08-21,Jefferson (Festus),24,John F. Kennedy with Valley Park,34
2015-08-21,East Prairie,41,Kelly,0
2015-08-21,Parkview,3,Kickapoo,35
2015-08-21,Lindbergh,7,Kirkwood,35
2015-08-21,North Kansas City,16,Lafayette (St. Joseph),7
2015-08-21,Van Horn,14,Lathrop,12
2015-08-21,Rolla,14,Lebanon,38
2015-08-21,Truman,0,Lee's Summit,33
